var_description,var_name,SAF_EXPORT,MI_TYPE,MI_KEEP,adult_build_include,ped_build_include,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
,can_bmi,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_blood_type,,categorical,FALSE,TRUE,TRUE,A,AB,B,O,Z,,,,
,can_dgn_prim,,categorical,FALSE,TRUE,TRUE,Cardiomyopathy,CongenitalHeartDisease,CoronaryArteryDisease,Other,RetransplantGraftFailure,ValvularHeartDisease,,,
,can_diabetes_type,,categorical,FALSE,TRUE,TRUE,None,Other,Type1,Type2,,,,,
,can_dialysis_status,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_symp_cvd,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_prior_cancer,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_s_cr,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_defibrillator,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_pa_bp_diast,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_pa_bp_syst,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_pa_mean,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_hemo_pcw_mean,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_hemo_co,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_smoking_status,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_prior_cardiac_surg,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_prior_congen_surgery,,binary,FALSE,FALSE,TRUE,0,1,,,,,,,
,can_peds_cog_develop,,categorical,FALSE,FALSE,TRUE,NotAssessed,Definite,Probable,Questionable,None,,,,
,can_peds_motor_delay,,categorical,FALSE,FALSE,TRUE,NotAssessed,Definite,Probable,Questionable,None,,,,
,can_peds_progress,,categorical,FALSE,FALSE,TRUE,NotApplicable,Within1Level,Delayed,SpecialEducation,,,,,
,can_peds_level,,categorical,FALSE,FALSE,TRUE,NotApplicable,FullLoad,ReducedLoad,CannotParticipate,,,,,
,can_hf_loss,,binary,FALSE,FALSE,TRUE,0,1,,,,,,,
,can_status,,categorical,FALSE,TRUE,TRUE,1,2,3,,,,,,
,listed_for_ki,,binary,FALSE,TRUE,TRUE,1,0,,,,,,,
,listed_for_kp,,binary,FALSE,TRUE,TRUE,1,0,,,,,,,
,listed_for_pa,,binary,FALSE,TRUE,TRUE,1,0,,,,,,,
,listed_for_li,,binary,FALSE,TRUE,TRUE,1,0,,,,,,,
,listed_for_in,,binary,FALSE,TRUE,TRUE,1,0,,,,,,,
,listed_for_hl,,binary,FALSE,TRUE,TRUE,1,0,,,,,,,
,listed_for_lu,,binary,FALSE,TRUE,TRUE,1,0,,,,,,,
,log2_distance_from_ctr,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
